City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachnyy,66.4167,112.4,235.62,73,98,1.14,RU,1675818096
1,jamestown,42.097,-79.2353,281.92,75,100,6.17,US,1675817815
2,nanortalik,60.1432,-45.2371,257.85,72,8,8.65,GL,1675818107
3,tukrah,32.5341,20.5791,284.52,65,99,4.81,LY,1675818108
4,half moon bay,37.4636,-122.4286,289.4,67,0,6.69,US,1675818108
5,mitchell,43.7094,-98.0298,275.14,75,0,3.6,US,1675818108
6,kapaa,22.0752,-159.319,299.33,88,100,6.69,US,1675818109
7,bredasdorp,-34.5322,20.0403,292.08,77,21,3.68,ZA,1675818109
8,san jose,37.3394,-121.895,289.38,53,40,3.09,US,1675817839
9,alberton,46.8168,-64.0654,268.1,92,21,1.47,CA,1675818047
10,ushuaia,-54.8,-68.3,284.96,50,0,1.54,AR,1675818110
11,saint-philippe,-21.3585,55.7679,297.92,83,94,6.23,RE,1675818110
12,georgetown,5.4112,100.3354,299.11,94,20,2.06,MY,1675817855
13,samarai,-10.6167,150.6667,300.98,77,100,4.93,PG,1675818112
14,yulara,-25.2406,130.9889,307.86,23,0,5.03,AU,1675818114
15,santa rosa de cabal,4.8681,-75.6214,294.94,57,40,3.6,CO,1675818114
16,mackay,-21.15,149.2,302.42,80,99,9.37,AU,1675818115
17,baltasi,56.3462,50.2062,254.5,100,100,2.81,RU,1675818115
18,san patricio,28.017,-97.5169,296.57,79,100,7.2,US,1675817876
19,ryazhsk,53.7038,40.1109,259.63,98,69,1.53,RU,1675818116
20,yellowknife,62.456,-114.3525,254.57,84,75,2.68,CA,1675818032
21,jabinyanah,35.035,10.9081,286.04,78,2,4.46,TN,1675818116
22,iqaluit,63.7506,-68.5145,240.0,75,75,0.0,CA,1675818030
23,chornukhy,50.2673,32.942,265.3,87,6,4.14,UA,1675818117
24,mataura,-46.1927,168.8643,285.64,75,83,4.67,NZ,1675818117
25,marion,39.7684,-86.1555,283.33,70,40,3.6,US,1675817929
26,nantucket,41.2835,-70.0995,274.26,82,100,4.12,US,1675818118
27,nandu,22.8525,110.8233,291.6,93,100,1.4,CN,1675818118
28,busselton,-33.65,115.3333,295.57,57,0,3.71,AU,1675818118
29,chokurdakh,70.6333,147.9167,234.03,100,100,1.73,RU,1675817999
30,tiksi,71.6872,128.8694,237.99,99,100,2.38,RU,1675818119
31,sept-iles,50.2001,-66.3821,267.44,83,75,9.77,CA,1675818119
32,vaini,-21.2,-175.2,301.24,89,75,4.63,TO,1675818120
33,kavaratti,10.5669,72.642,299.62,70,100,5.02,IN,1675818120
34,hobart,-42.8794,147.3294,289.85,66,75,6.17,AU,1675818120
35,gubkinskiy,64.434,76.5026,247.95,100,93,3.56,RU,1675818130
36,chepareria,1.3077,35.2039,288.71,57,8,2.29,KE,1675818143
37,upernavik,72.7868,-56.1549,243.52,97,60,1.47,GL,1675818150
38,red deer,52.2668,-113.802,273.81,74,40,2.57,CA,1675818048
39,nayagarh,20.1333,85.1,289.54,88,5,1.05,IN,1675818157
40,new norfolk,-42.7826,147.0587,289.66,36,4,0.94,AU,1675818157
41,inhambane,-23.865,35.3833,298.55,88,12,3.25,MZ,1675818158
42,yenagoa,4.9247,6.2642,298.85,85,17,1.24,NG,1675818158
43,fort nelson,58.8053,-122.7002,267.92,74,20,2.06,CA,1675818049
44,port elizabeth,-33.918,25.5701,293.88,91,40,2.68,ZA,1675818159
45,nemuro,43.3236,145.575,269.71,64,34,2.35,JP,1675817999
46,chicalim,15.4,73.8333,294.94,88,100,2.06,IN,1675818166
47,lakes entrance,-37.8811,147.981,292.13,65,10,3.68,AU,1675818167
48,qaanaaq,77.484,-69.3632,241.58,67,7,2.82,GL,1675818171
49,umtata,-31.5889,28.7844,290.68,95,100,0.54,ZA,1675818172
50,pacific grove,36.6177,-121.9166,288.16,82,0,6.26,US,1675818173
51,arraial do cabo,-22.9661,-42.0278,297.31,90,100,1.79,BR,1675818174
52,puerto ayora,-0.7393,-90.3518,299.57,92,27,4.92,EC,1675818036
53,antalaha,-14.9003,50.2788,296.02,91,100,2.39,MG,1675818174
54,oriximina,-1.7656,-55.8661,297.29,93,99,0.77,BR,1675818175
55,klaksvik,62.2266,-6.589,281.66,82,100,25.05,FO,1675818176
56,waipawa,-41.4122,175.5153,293.0,59,39,2.78,NZ,1675818176
57,bethel,41.3712,-73.414,276.2,75,100,1.54,US,1675818176
58,castro,-24.7911,-50.0119,290.14,92,26,2.48,BR,1675818177
59,sabang,5.8933,95.3214,300.54,74,100,6.26,ID,1675818177
60,mar del plata,-38.0023,-57.5575,296.53,91,75,8.94,AR,1675818177
61,bluff,-46.6,168.3333,285.82,61,67,11.15,NZ,1675818178
62,vardo,70.3705,31.1107,271.14,86,9,9.26,NO,1675818178
63,ribeira grande,38.5167,-28.7,285.8,64,1,4.02,PT,1675818178
